Nom_Arxiu,Nom_abreviat,Grup,Color
GSM1134026_EA04058_28124_H133+_TS208.CEL,26_M,M,Green
GSM1134027_EA04058_28335_H133+_TS250.CEL,27_M,M,Green
GSM1134028_EA04058_30434_H133+_TS258.CEL,28_M,M,Green
GSM1134029_EA04058_30436_H133+_TS245.CEL,29_M,M,Green
GSM1134030_EA04058_30437_H133+_TS238.CEL,30_M,M,Green
GSM1134031_EA04058_52889_H133+_TS255.CEL,31_M,M,Green
GSM1134032_EA04058_52892_H133+_TS279.CEL,32_M,M,Green
GSM1134033_EA04058_52893_H133+_TS236.CEL,33_M,M,Green
GSM1134034_EA04058_52894_H133+_TS285.CEL,34_M,M,Green
GSM1134035_EA04058_52895_H133+_TS240.CEL,35_M,M,Green
GSM1134036_EA04058_52896_H133+_TS299.CEL,36_M,M,Green
GSM1134037_EA04058_52898_H133+_TS108.CEL,37_M,M,Green
GSM1134038_EA04058_52899_H133+_TS221.CEL,38_M,M,Green
GSM1134039_EA04058_53536_H133+_TS13.CEL,39_M,M,Green
GSM1134040_EA04058_53538_H133+_TS290.CEL,40_M,M,Green
GSM1134041_EA04058_53540_H133+_TS181.CEL,41_M,M,Green
GSM1134042_EA04058_30426_H133+_TS168.CEL,42_P,P,Red
GSM1134043_EA04058_30427_H133+_TS79.CEL,43_P,P,Red
GSM1134044_EA04058_52884_H133+_TS11.CEL,44_P,P,Red
GSM1134045_EA04058_52885_H133+_TS120.CEL,45_P,P,Red
GSM1134046_EA04058_52886_H133+_TS189.CEL,46_P,P,Red
GSM1134047_EA04058_52887_H133+_TS234.CEL,47_P,P,Red
GSM1134048_EA04058_52888_H133+_TS241.CEL,48_P,P,Red
GSM1134049_EA04058_52890_H133+_TS266.CEL,49_P,P,Red
GSM1134050_EA04058_52891_H133+_TS315.CEL,50_P,P,Red
GSM1134051_EA04058_52897_H133+_TS308.CEL,51_P,P,Red
