Nom_Arxiu,Nom_abreviat,Grup,Color
GSM1134016_EA04058_25073_H133+_F15.CEL,1_XX,XX,Red
GSM1134017_EA04058_25074_H133+_F16.CEL,2_XX,XX,Red
GSM1134018_EA04058_25075_H133+_F20.CEL,3_XX,XX,Red
GSM1134019_EA04058_25076_H133+_F27.CEL,4_XX,XX,Red
GSM1134020_EA04058_25077_H133+_F34.CEL,5_XX,XX,Red
GSM1134021_EA04058_25078_H133+_F38.CEL,6_XX,XX,Red
GSM1134022_EA04058_25079_H133+_F42.CEL,7_XX,XX,Red
GSM1134023_EA04058_25080_H133+_F43.CEL,8_XX,XX,Red
GSM1134024_EA04058_25081_H133+_F45.CEL,9_XX,XX,Red
GSM1134025_EA04058_25082_H133+_F52.CEL,10_XX,XX,Red
GSM1134026_EA04058_28124_H133+_TS208.CEL,1_XO,XO,Green
GSM1134027_EA04058_28335_H133+_TS250.CEL,2_XO,XO,Green
GSM1134028_EA04058_30434_H133+_TS258.CEL,3_XO,XO,Green
GSM1134029_EA04058_30436_H133+_TS245.CEL,4_XO,XO,Green
GSM1134030_EA04058_30437_H133+_TS238.CEL,5_XO,XO,Green
GSM1134031_EA04058_52889_H133+_TS255.CEL,6_XO,XO,Green
GSM1134032_EA04058_52892_H133+_TS279.CEL,7_XO,XO,Green
GSM1134033_EA04058_52893_H133+_TS236.CEL,8_XO,XO,Green
GSM1134034_EA04058_52894_H133+_TS285.CEL,9_XO,XO,Green
GSM1134035_EA04058_52895_H133+_TS240.CEL,10_XO,XO,Green
GSM1134036_EA04058_52896_H133+_TS299.CEL,11_XO,XO,Green
GSM1134037_EA04058_52898_H133+_TS108.CEL,12_XO,XO,Green
GSM1134038_EA04058_52899_H133+_TS221.CEL,13_XO,XO,Green
GSM1134039_EA04058_53536_H133+_TS13.CEL,14_XO,XO,Green
GSM1134040_EA04058_53538_H133+_TS290.CEL,15_XO,XO,Green
GSM1134041_EA04058_53540_H133+_TS181.CEL,16_XO,XO,Green
GSM1134042_EA04058_30426_H133+_TS168.CEL,17_XO,XO,Green
GSM1134043_EA04058_30427_H133+_TS79.CEL,18_XO,XO,Green
GSM1134044_EA04058_52884_H133+_TS11.CEL,19_XO,XO,Green
GSM1134045_EA04058_52885_H133+_TS120.CEL,20_XO,XO,Green
GSM1134046_EA04058_52886_H133+_TS189.CEL,21_XO,XO,Green
GSM1134047_EA04058_52887_H133+_TS234.CEL,22_XO,XO,Green
GSM1134048_EA04058_52888_H133+_TS241.CEL,23_XO,XO,Green
GSM1134049_EA04058_52890_H133+_TS266.CEL,24_XO,XO,Green
GSM1134050_EA04058_52891_H133+_TS315.CEL,25_XO,XO,Green
GSM1134051_EA04058_52897_H133+_TS308.CEL,26_XO,XO,Green
GSM1411021_Turner_1_HG-U133_Plus_2_.CEL,27_XO,XO,Green
GSM1411022_Turner_2_HG-U133_Plus_2_.CEL,28_XO,XO,Green
GSM1411023_Turner_10_B_HG-U133_Plus_2_.CEL,29_XO,XO,Green
GSM1411024_Turner_12_B_HG-U133_Plus_2_.CEL,30_XO,XO,Green
GSM1411025_Turner_15_HG-U133_Plus_2_.CEL,31_XO,XO,Green
GSM1411026_Turner_11_control_HG-U133_Plus_2_.CEL,11_XX,XX,Red
GSM1411027_Turner_7_control_HG-U133_Plus_2_.CEL,12_XX,XX,Red
GSM1411028_Turner_13_B_control_HG-U133_Plus_2_.CEL,13_XX,XX,Red
GSM1411029_Turner_14_B_control_HG-U133_Plus_2_.CEL,14_XX,XX,Red
GSM1411030_Turner_9_control_HG-U133_Plus_2_.CEL,15_XX,XX,Red
